author,roi,date_event,time_event,team_home,team_away,odds,bet,forecast,like,dislike,date_publish
"Виталий Юркин",-11.34%,"17 июл",14:00,"Тюмень",Химки,2.00,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (9.5)","Думаю химки одержат победу, но поставлю на тотал больше девяти угловых",0,0,"Сегодня в 07:50"
"Андрей Сысолятин",-12.00%,"17 июл",14:00,"Тюмень",Химки,1.81,"ОБЕ ЗАБЬЮТ (ДА)","Тюмень примет Химки. Жду интересной игры с обменом голами.",0,0,"Сегодня в 07:57"
"Сергей Расщепкин",-5.65%,"17 июл",14:00,"Тюмень",Химки,2.19,"ПОБЕДА 2","Делаю ставку на победу Химок в этом матче. Все таки Химки посильнее Тюмени",0,0,"Сегодня в 08:19"
"Александр Лыхварев",-8.76%,"17 июл",14:00,"Тюмень",Химки,2.47,"ПОБЕДА 1 ПО УГЛОВЫМ УДАРАМ","Тюмень на домашнем стадионе не будет отсиживаться в обороне, Химки с обновленным составом не являются фаворитом встречи. Рискну поставить на победу хозяев по угловым.",0,0,"Сегодня в 08:20"
"Игорь Широков",-17.77%,"17 июл",14:00,"Тюмень",Химки,1.76,"ТОТАЛ МЕНЬШЕ (2.5)","Не думаю что здесь будет фейерверк голов, Тюмень встанет стеной.",0,0,"Сегодня в 08:23"
"Денис Новиков",-7.88%,"17 июл",14:00,"Тюмень",Химки,2.45,"ФОРА 1 (0)","Молодые хорошо сыграют ну голы должны быть так что посмотрим что будет в этом матче",0,0,"Сегодня в 08:28"
"Вячеслав  Тт",+28.25%,"17 июл",14:00,"Тюмень",Химки,2.14,"ПОБЕДА 2","Состав Химок выглядит на порядок выше большинства команд. Тюмень - новичок и вряд-ли  они смогут что-то им противопоставить.",0,0,"Сегодня в 08:33"
"Алекс Сорокин",+13.25%,"17 июл",14:00,"Тюмень",Химки,2.14,"ПОБЕДА 2","Доброго времени суток друзья!
Хочу поделиться прогнозом на матч 
Тюмень-Хммки!
Моя ставка на победу второй команды п2",0,0,"Сегодня в 08:37"
"Андрей Картышов",0.00%,"17 июл",14:00,"Тюмень",Химки,2.14,"ПОБЕДА 2","ФУТБОЛ
РОССИЯ: ФНЛ - ТУР 1
17.07.2023 17:00

Тюмень
-
Химки

«Химки» наряду с «Торпедо» главные фавориты сезона. Ну что ж, посмотрим.",0,0,"Сегодня в 08:41"
"Людмила Рожкова",-16.13%,"17 июл",14:00,"Тюмень",Химки,2.30,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 ПО УГЛОВЫМ БОЛЬШЕ (5.5)","Ставлю тотал угловых второй команды больше! Думаю Химик начнет сезон хорошо.",0,0,"Сегодня в 08:48"
"Радик  Буркеев",-19.17%,"17 июл",14:00,"Тюмень",Химки,2.07,"ТОТАЛ БОЛЬШЕ (2.5)","Химки ни когда не проигрывали Тюмени.При этом ни когда не обыгрывали их на их поле.И в больше половина очных встреч эти команды на двоих пробивали тотал.Почему бы на старте турнира пока игроки не набрали кондиций не пробить тотал вновь удачи!",0,0,"Сегодня в 08:48"
"Alexey Gol",-4.83%,"17 июл",14:00,"Тюмень",Химки,2.19,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Попробую заиграть такой вариант. Атака гостей все же норм.",0,0,"Сегодня в 08:51"
"Frank Gremlins",-9.17%,"17 июл",14:00,"Тюмень",Химки,1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","Матч будет равный, с большим количеством борьбы и мало моментов",0,0,"Сегодня в 08:52"
"Артём Билий",+28.96%,"17 июл",14:00,"Тюмень",Химки,2.14,"ПОБЕДА 2","Несмотря на то, что Химки вылетели из элиты, опыта у них предостаточно.",0,0,"Сегодня в 08:56"
"Игорь Кудрявцев",-7.11%,"17 июл",14:00,"Тюмень",Химки,1.64,"ДВОЙНОЙ ШАНС 1X","На своем поле Тюмень не проигрывала Химкам, да из 3 матчей не выграла не 1 все ничьи, но свое поле я думаю поможет Тюмени.",0,0,"Сегодня в 09:06"
"Александр Шир",+2.65%,"17 июл",14:00,"Тюмень",Химки,1.95,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1)","Думаю забьет сегодня Тюмень однозначно один мяч,а там может и второй",0,0,"Сегодня в 09:23"
"Городской  Парень",+3.07%,"17 июл",14:00,"Тюмень",Химки,3.28,"НИЧЬЯ","Тюмень и Химки очень средняковые команды, борются за выживание",0,0,"Сегодня в 09:24"
"СЕРГЕЙ МАРАКОВ",+38.71%,"17 июл",14:00,"Тюмень",Химки,1.53,"ТОТАЛ БОЛЬШЕ (2)","начало турнира думаю тотал в 2 мяча должны пробивать химки выиграют",0,0,"Сегодня в 09:28"
"Константин Руденский",-39.00%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Химки хоть и силтно изменились но силы в составе не потеряли",0,0,"Сегодня в 09:55"
"Павел Новоселов",-21.94%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Думаю, что Химки, хоть и играют в гостях, смогут вырвать победу.",0,0,"Сегодня в 10:00"
"Молодой Шейх 👑🇷🇺",-3.39%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Для Химок должна быть лёгкая победа, если они хотят вернуться в рпл",0,0,"Сегодня в 10:01"
"Денис Точненький",+96.50%,"17 июл",14:00,"Тюмень",Химки,1.81,"ОБЕ ЗАБЬЮТ (ДА)","Предположу что обмен мячами состояться в этом матче ! Так как Химки не блещут составом , он изменился и ему надо сыгрываться , Тюмень была во 2 дивизионе в топе по игре и здесь ожидаю ничью …",0,0,"Сегодня в 10:02"
"Малых Александр",-6.90%,"17 июл",14:00,"Тюмень",Химки,1.53,"ТОТАЛ БОЛЬШЕ (2)","Обе команду забивают больше 2,5.. голов за игру, поставим уверенную ставку на тотал больше 2",0,0,"Сегодня в 10:13"
"Виктор Парамонов",-24.05%,"17 июл",14:00,"Тюмень",Химки,2.21,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Тюмень-Химки сделаю рискованную ставку на тотал второй команды",0,0,"Сегодня в 10:24"
"3-ий Миранчук",-17.77%,"17 июл",14:00,"Тюмень",Химки,2.98,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1.5)","Скорее всего Тюмень как хозяин должны играть на победу сегодня.",0,0,"Сегодня в 10:30"
"Алекс Фримен",-5.46%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Химки должны одержать победу все факты говорят об этом, из рпл прийти и проиграть, незнаю... Думаю победа будет за ними в остальном это игра играйте разумно всем удачи",0,0,"Сегодня в 10:35"
"Arne Rude",-0.91%,"17 июл",14:00,"Тюмень",Химки,2.08,"ТОТАЛ БОЛЬШЕ (2.5)","Противостояние двух атакующих тренеров, ну как тут пойти против голов? Тем более, наверняка на старте обе команды захотят стартовать в ФНЛ с победы.
Да будут голы. Можно еще добавить ОЗ, но это для отчаянных.",0,0,"Сегодня в 10:42"
"ТАЛИСМАН ПОБЕД",+24.43%,"17 июл",14:00,"Тюмень",Химки,1.76,"ТОТАЛ МЕНЬШЕ (2.5)","Тяжело предугадать исход матча, только начало сезона и в какой форме команды подошли к этому матчу непонятно. Рискну поставить на ТМ 2.5",0,0,"Сегодня в 10:42"
"BORUSSIA DORTMUND",-14.46%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","думаю химки должны обыгрывать такого соперника даже на его поле",0,0,"Сегодня в 10:48"
"Сергей Лапшин",-29.19%,"17 июл",14:00,"Тюмень",Химки,2.98,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1.5)","тюмень в матче открытия способны забить химкам парочку голов",0,0,"Сегодня в 10:51"
"А. Али",-6.20%,"17 июл",14:00,"Тюмень",Химки,2.08,"ТОТАЛ БОЛЬШЕ (2.5)","Беру тотал матча думаю команды пробьют три мяча пожелаем удачи",0,0,"Сегодня в 10:53"
"ANTON Старовойтов",-18.89%,"17 июл",14:00,"Тюмень",Химки,2.88,"ТОТАЛ БОЛЬШЕ (3)","Незнаю но я торлю за голевой матч. Ставка тб 3. Болеем за парней",0,0,"Сегодня в 10:54"
"Дмитрий Борисов",-7.59%,"17 июл",14:00,"Тюмень",Химки,1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","Команды пока только вкатываются в сезон, а значит ожидать яркой игры с обилием корнеров я бы не стал",0,0,"Сегодня в 11:03"
"Елена Суворина",-25.13%,"17 июл",14:00,"Тюмень",Химки,2.55,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 ПО УГЛОВЫМ БОЛЬШЕ (5.5)","химки должны набирать такой тотол угловых играя с таким соперником.",0,0,"Сегодня в 11:08"
"Mishgunoid Mi",-22.25%,"17 июл",14:00,"Тюмень",Химки,1.59,"ФОРА 2 (0)","Химки все же поопытнее будут, чем Тюмень, которой несколько лет не было в первой лиге.",0,0,"Сегодня в 11:08"
"One Plus",-5.95%,"17 июл",14:00,"Тюмень",Химки,3.00,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (7.5)","Я заметил тенденцию у команд фнл подавать мало угловых, может и тут заиграет?",0,0,"Сегодня в 11:11"
"Даниил Линков",-22.50%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Химки вернулись туда где им и место. Но на один сезон…
Не зря талалаев остался  в клубе. Точно для того, чтобы вернуться обратно в РПЛ и всех там побеждать. Так что ждём победу химок. Думаю Тюмень будет серьезную борьбу навязывать в этом сезоне",0,0,"Сегодня в 11:13"
"Евгений Симановский",+22.75%,"17 июл",14:00,"Тюмень",Химки,1.59,"ФОРА 2 (0)","Привет всем. В этой встрече химки явно начнут сразу пытаться занимать верхние места таблицы.",0,0,"Сегодня в 11:16"
"Алексей Волошенюк",+3.76%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Думаю после вылета Химки должны взять себя в руки и выйграть матч",0,0,"Сегодня в 11:28"
"Василий Пацкан",-5.37%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Я думаю молодые парни пришедшие в Химки должны доказывать свою проф пригодность,и класс по идее у них выше чем у новичка лиги",0,0,"Сегодня в 11:30"
"Александр Эльгарт",-25.69%,"17 июл",14:00,"Тюмень",Химки,1.77,"ТОТАЛ МЕНЬШЕ (2.5)","Добрый день друзья думаю много голов в этом матче не будет первый тур всё-таки.",0,0,"Сегодня в 11:33"
"Yoriichi Tsugikuni",-3.15%,"17 июл",14:00,"Тюмень",Химки,1.81,"ОБЕ ЗАБЬЮТ (ДА)","думаю оз должны будут пробить не знаю что ждать от ру команд 
д",0,0,"Сегодня в 11:36"
"A.R. Zarik",-3.59%,"17 июл",14:00,"Тюмень",Химки,1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","Попробую взять статистику. Не думаю, что Химки позволят подавать столько же, сколько тюменцы подавали в предыдущем сезоне. А для хозяев одним из главных способов добыть хоть какой-то результат - это навязывать борьбу еще на подступах к штрафной, разрушать все еше в середине поля.",0,0,"Сегодня в 11:38"
"Андрей Малько",+0.60%,"17 июл",14:00,"Тюмень",Химки,1.95,"ОБЕ ЗАБЬЮТ (НЕТ)","Судя по тенденции нашей лучшей лиги, оз в матче не должно зайти",0,0,"Сегодня в 11:38"
"Igor Alexandrovich",+19.53%,"17 июл",14:00,"Тюмень",Химки,1.85,"ТОТАЛ БОЛЬШЕ (4.5) ПО ЖЕЛТЫМ КАРТОЧКАМ","Такой исходик возьмем в данном мачте , думаю легко сделают , посмотрим",0,0,"Сегодня в 11:43"
"Павел Новиков",+14.92%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Химки начинают явными фаворитами турнира. Удалось сохранить большую группу игроков. Тюмень же практически не обновилась и в ФНЛ с таким составом будет тяжело. Жду трудовую победу Химок.",0,0,"Сегодня в 11:52"
"Roman Gorbachev",-9.68%,"17 июл",14:00,"Тюмень",Химки,1.77,"ТОТАЛ МЕНЬШЕ (2.5)","Считаю, что фаворита в этом матче нет. Первый матч дебютанта лиги на своем поле вижу от обороны.",0,0,"Сегодня в 11:53"
"Wlad Setskiy",+22.50%,"17 июл",14:00,"Тюмень",Химки,3.28,"НИЧЬЯ","Думаю здесь команды распишут  ничейку, Химки не смогут а Тюмень не осилит.",0,0,"Сегодня в 12:01"
"Юрий",+3.27%,"17 июл",14:00,"Тюмень",Химки,2.17,"ПОБЕДА 2","Химки имеют качественный состав для победы в этом турнире.",0,0,"Сегодня в 12:08"
"Vladislav Domnich",+3.40%,"17 июл",14:00,"Тюмень",Химки,1.85,"ТОТАЛ БОЛЬШЕ (4.5) ПО ЖЕЛТЫМ КАРТОЧКАМ","Обслуживать предстоящий матч будет Евгений Кукуляк. За последние 5 матчей он показывает в среднем 7,4 желтых карточки. А вообще, средний показатель по картам у этого арбитра = 4,99 (за последние 100 матчей). В 35% матчей он назначает пенальти. Дебютный матч для обеих команд в этом сезоне Первой Лиги. Предположу, что команды покажут достаточно грубый футбол и как минимум 5 желтых карточек мы с вами увидим",0,0,"Сегодня в 12:14"
"футбольный бигги",-42.20%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","химки на кураже должны побеждать сегодня в матче уверенно.",0,0,"Сегодня в 12:16"
"Akim Bobrov",-1.89%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Химки по едят стопудово, я думаю одни из претендентов на повышение",0,0,"Сегодня в 12:23"
"bestie fr",-16.14%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Тюмень должна ударно зайти в первую лигу и хлопнуть бывшего участника премьер лиги",0,0,"Сегодня в 12:23"
"Дмитрий Федоров",-7.86%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Химки вылетели из РПЛ и по праву наверное считаются фаворитами ФНЛ этого сезона ,а Тюмень пришли из 2-ой лиги. Думаю гости победят",0,0,"Сегодня в 12:26"
"Илья Шкодин",-1.18%,"17 июл",14:00,"Тюмень",Химки,1.33,"ТОТАЛ БОЛЬШЕ (1.5)","В этом матче обе команды равные по силам мой прогноз на матч ТБ 1.5",0,0,"Сегодня в 12:31"
"Даниил С.",+2.67%,"17 июл",14:00,"Тюмень",Химки,2.38,"ФОРА 1 (0)","Тюмень на своём стадионе вполне возможно будет выглядеть хорошо",0,0,"Сегодня в 12:32"
"Рита Вернись",-7.99%,"17 июл",14:00,"Тюмень",Химки,2.93,"ТОТАЛ БОЛЬШЕ (3)","Химки думаю с крупным счётом должны побеждать,но один гол тоже дадут хозяевам забить",0,0,"Сегодня в 12:37"
"Лудо Ман",-10.00%,"17 июл",14:00,"Тюмень",Химки,3.29,"ПОБЕДА 1","Попробовать стоит,Тюмень не плохо играл,хоть и не в этой лиге,думаю будет даже 2:0",0,0,"Сегодня в 12:38"
"Дмитрий Александрович",+8.38%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Я уверен что оба коллектива не будут отсиживаться в обороне.",0,0,"Сегодня в 12:42"
"Александр Кравченко",-6.64%,"17 июл",14:00,"Тюмень",Химки,2.38,"ФОРА 1 (0)","тюмень на своем поле вполне способна не проиграть сопернику обновимшему полностью своц состав.",0,0,"Сегодня в 12:43"
"Андрей Шиндяев",0.00%,"17 июл",14:00,"Тюмень",Химки,3.32,"ФОРА 2 (-1)","Думаю химки должны сегодня на опыте забирать первую победу в сезонн",0,0,"Сегодня в 12:46"
"Илья  Суарез",+7.03%,"17 июл",14:00,"Тюмень",Химки,2.11,"ТОТАЛ БОЛЬШЕ (2.5)","Ну поверю в результативность игры, команды не самые надежные",0,0,"Сегодня в 12:54"
"Kapper Nik",-10.74%,"17 июл",14:00,"Тюмень",Химки,1.64,"ДВОЙНОЙ ШАНС 1X","Рискну здесь заиграть против фаворита этой встречи, сомневаюсь пока что Химки набрали оптимальную форму",0,0,"Сегодня в 12:56"
"Машинист на Ставках",-100.00%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","У Химак хороший настрой и сегодня они должны на классе обыграть Тюмень!",0,0,"Сегодня в 12:57"
"Антон Ануфриев",0.00%,"17 июл",14:00,"Тюмень",Химки,1.56,"ТОТАЛ БОЛЬШЕ (2)","Тотал больше 2 мой прогноз на сегодня. какие ваши мнения я думаю моя ставка пройдет",0,0,"Сегодня в 13:00"
"Антоха Stars",-6.61%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Попробуем заиграть ставку что обе команды смогут забить неплохо играют",0,0,"Сегодня в 13:00"
"David Homie",-7.30%,"17 июл",14:00,"Тюмень",Химки,1.72,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 МЕНЬШЕ (1.5)","Думаю, что Химки в своем первом матче не смогут забить больше гола",0,0,"Сегодня в 13:05"
"Ilya Vavilin",+7.00%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Тут вариантов не много. Не верю что Химки скатятся в середняка ФНЛ. Тут либо будут в топе и будут претендовать на возвращение в РПЛ, либо совсем скатятся в ФНЛ-2. Больше верю в первый вариант, а значит таких соперников должны обыгрывать",0,0,"Сегодня в 13:07"
"Юрген Клопп",-3.93%,"17 июл",14:00,"Тюмень",Химки,2.90,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 ПО УГЛОВЫМ БОЛЬШЕ (5.5)","Всем привет друзья долго выбирал между голами и угловые хозяев поля все таки коэффициент лучше на углы",0,0,"Сегодня в 13:07"
"ГОША ГоША",-26.25%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Думаю все таки команды смогут как минимум по разу забить в матче",0,0,"Сегодня в 13:09"
"Денис Антоненко",+6.64%,"17 июл",14:00,"Тюмень",Химки,1.92,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 МЕНЬШЕ (1)","Тут всё просто. Тюмень ещё в прошлом сезоне играла во 2-й лиге, а Химки — в высшей. Разница в классе и опыте просто огромна. Сокол, другой дебютант 1-го дивизиона, вчера всухую скрутился Родине (4:0)… Ленинградец, тоже новичок, не смог забить Арсеналу (0:0). Маловероятно, что Тюмень забьёт 2+.",0,0,"Сегодня в 13:11"
"Dymovaya Zavesa",-10.04%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Тюмень умеет забивать, тем более на домашнем стадионе. Химки фаворит, но у них с защитой имеются проблемы. Думаю будет обмен голами.",0,0,"Сегодня в 13:11"
"""ПОЛКОВНИК""  ФИНИК",-13.77%,"17 июл",14:00,"Тюмень",Химки,2.93,"ТОТАЛ БОЛЬШЕ (3)","Предположу что команды способны не только обменяться голами но отличиться 2-3 голами со стороны гостей..",0,0,"Сегодня в 13:12"
"Den Loga",-7.83%,"17 июл",14:00,"Тюмень",Химки,2.18,"ПОБЕДА 2","Считаю Химки возьмут победу над Тюменью - хоть и первый тур но Химки по составу все же получше будут",0,0,"Сегодня в 13:13"
"Арни Норд",+20.31%,"17 июл",14:00,"Тюмень",Химки,1.83,"ОБЕ ЗАБЬЮТ (ДА)","Привет всем,  считаю дома хозяева смогут дать гол ну а гости сами по себе точно должны",0,0,"Сегодня в 13:13"
"олег слюньков",+0.67%,"17 июл",14:00,"Тюмень",Химки,2.70,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (10.5)","Думаю тут будет много угловых минимум 11 точно сегодня.....",0,0,"Сегодня в 13:20"
"Mia San Mia ❤️",-4.24%,"17 июл",14:00,"Тюмень",Химки,1.56,"ТОТАЛ БОЛЬШЕ (2)","Если два гола забьют,, уже будет хорошо, а то ФНЛ любит сюрпризы, как и РПЛ.",0,0,"Сегодня в 13:20"
"Лаврентий КХЛ",-49.27%,"17 июл",14:00,"Тюмень",Химки,2.11,"ТОТАЛ БОЛЬШЕ (2.5)","Тюмень и Химки выдадут красивый матч с большим обилием голов.",0,0,"Сегодня в 13:23"
"KONSTANTIN MERKULOV",-17.27%,"17 июл",14:00,"Тюмень",Химки,1.78,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (1)","Не стал бы останавливаться на том что совсем недавно Химки
бились с лучшими командами РПЛ. Это громко сказано. Явный
аутсайдер. Такой же как и Торпедо. По сравнению с делами
месячной давности гости стали слабее. Проблем в обороне
достаточно. Фактор домашнего поля должен помочь Тюмени
отличиться. Несмотря на богатый состав гостей, у Талалаева по-
прежнему полный бардак. Вероятно что победить хозяева не
смогут. Но по крайней мере уступят не с сухим счетом.",0,0,"Сегодня в 13:24"
"Артём Сергеев",+4.36%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Прогноз на основные исходы матча Черноморец - Алания:

По итогу прошлого первенства МЕЛБЕТ Первой Лиги России “Алания” заняла третью строчку, но не смогла поучаствовать даже в стыковых матчах, так как не прошла лицензирование. Тем не менее, этот факт не отменяет крутой сезон в исполнении гостей, а также позволяет нам ожидать от них не менее качественный футбол в розыгрыше 2023/2024 годов. Отметим, что вторые не проигрывают с восьмого апреля, при этом в рамках подготовительной кампании “барсы” провели три товарищеские встречи, суммарный счет которых 7:1 в пользу владикавказцев. Что же касается хозяев, то они новички дивизиона, которые в прошлом сезоны выступали в лиге на уровень ниже. В предсезонке “Черноморец” сыграл три дружеских игры, во всех из которых не сумел оставить свои ворота на замке, пускай даже и забивая. Соединяя все вышесказанное воедино, считаем, что первые не готовы сейчас на равных противостоять своим будущим визави, поэтому сделаем ставку на П2 за 1.87

Прогноз на тотал голов

В матчах с участием хозяев поля в розыгрыше 2022/2023 годов фиксировалось три гола, а в играх гостей - 2.35. Учитывая это, предлагаем вам сделать ставку на ТБ(2) за 1.5

Прогно...",0,0,"Вчера в 00:21"
"Женя Шипилин",-17.96%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","ПРивет всем.Мой прогноз Алания легко переиграет на выезде Черноморец..",0,0,"Вчера в 08:23"
"Алексей Сергеевич",-12.44%,"17 июл",16:30,"Черноморец","Алания",1.82,"ТОТАЛ МЕНЬШЕ (2.5)","Игра будет нервной. 
С одной стороны полный стадион, с другой класс команды.",0,0,"Вчера в 08:28"
"Александр Шаулов",-4.03%,"17 июл",16:30,"Черноморец","Алания",3.50,"НИЧЬЯ","Черноморец сыграют в ничью первой своей игре в новом статусе.",0,0,"Вчера в 09:39"
"Hockey Bets",-28.00%,"17 июл",16:30,"Черноморец","Алания",1.83,"ОБЕ ЗАБЬЮТ (ДА)","Футбол Первая Лига Россия

🇷🇺Черноморец Новоросийск : 🇷🇺Алания Владикавказ

Обе команды забьют Да",0,0,"Вчера в 11:01"
"Евгений Горшенков",-11.80%,"17 июл",16:30,"Черноморец","Алания",1.82,"ТОТАЛ МЕНЬШЕ (2.5)","В данном маиче самая логичная ставка тотал меньше 3 мячей...",0,0,"Вчера в 13:13"
"Сахар королев",-14.41%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Привет всем.Мой прогноз Алания уверенно переиграет Черноморец даже на выезде...",0,0,"Вчера в 13:20"
"Виталий Крючков",-8.35%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Я в этом матче ожидаю от команд Черноморец и Алания, увидеть красивую игру, более как я склонен на победу гостей.",0,0,"Вчера в 13:37"
"Виктор Денисов",-15.71%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Здравствуйте тут я отдам ствку на победу команды Алании так как они фаворитом будут.",0,0,"Вчера в 14:59"
"Ксюша Кудряшова",+90.00%,"17 июл",16:30,"Черноморец","Алания",9.00,"ТОЧНЫЙ СЧЕТ 1:2","Алания все же посильнее, не факт, что с техничным соперником оборона Черноморца справится. Поставлю на гостей 1-2",0,0,"Вчера в 15:12"
"Анатолий Шмелёв",-0.79%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","У Алании в том году лучше получались игры на выезде, чем дома, тенденция продолжится",0,0,"Вчера в 16:04"
"Оксана Курагина",-8.57%,"17 июл",16:30,"Черноморец","Алания",2.01,"ТОТАЛ БОЛЬШЕ (2.5)","Думается что тут будет открытый футбол много голов ставлю на тотал больше зайдет",0,0,"Вчера в 17:27"
"Артем Смирнов",+1.50%,"17 июл",16:30,"Черноморец","Алания",2.01,"ТОТАЛ БОЛЬШЕ (2.5)","Черноморец много пропускает но может и забить. Тотал больше",0,0,"Вчера в 19:35"
"Sacred Norris#",+8.02%,"17 июл",16:30,"Черноморец","Алания",1.83,"ОБЕ ЗАБЬЮТ (ДА)","У Алании всегда были проблемы в обороне по этому уверен что команды забьют по голу",0,0,"Вчера в 20:17"
"Alexey Baryon",+1.71%,"17 июл",16:30,"Черноморец","Алания",1.50,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 БОЛЬШЕ (0.5)","Думаю много голов не будет. Дом забьет возможно ничья. удачи.",0,0,"Вчера в 22:50"
"deesx ebaw",+3.45%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","алания сильна, чего не скажешь о их соперниках, легкая победа",0,0,"Вчера в 23:09"
"Александр Бучнев",-21.60%,"17 июл",16:30,"Черноморец","Алания",2.01,"ТОТАЛ БОЛЬШЕ (2.5)","Черноморец дома наверняка забьет, а Алания попытается победить.",0,0,"Вчера в 23:34"
"Миша Трынкин",-8.63%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","гости были хороши в прошлом сезоне и в этом должны побеждать",0,0,"Сегодня в 00:09"
"Eager Beaver",-4.17%,"17 июл",16:30,"Черноморец","Алания",2.01,"ТОТАЛ БОЛЬШЕ (2.5)","А тут наоборот хочется попробовать тотал больше. Не то чуйка, не то дурость. Проверю.",0,0,"Сегодня в 00:26"
"Akim Bobrov",-1.89%,"17 июл",16:30,"Черноморец","Алания",1.87,"ПОБЕДА 2","Алания не вышла в премьер лигу но по игре они намного сильнее должны быть",0,0,"Сегодня в 00:51"
"AAA XXX",-4.76%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","Черноморец - Алания. Алания начнет легкой победы над черном",0,0,"Сегодня в 02:04"
"Александр Ничаев",-4.88%,"17 июл",16:30,"Черноморец","Алания",7.50,"ТОЧНЫЙ СЧЕТ 1:1","Черноморец в честь открытия сезона постарается не проиграть",0,0,"Сегодня в 02:20"
"ФЕДОР ЖИЛКИН",+4.79%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","Новичок лиги думаю пока слабо начнет турнир в этих матчах в играх",0,0,"Сегодня в 02:59"
"Павел Слепокуров",-38.34%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","алания сильнее и гораздо опытнее. тут победа алании железно. сколько смогут забить вопрос но не пропустят точно. на минусовую фору заходить не рискну.",0,0,"Сегодня в 03:41"
"Игорек Снайперок",0.00%,"17 июл",16:30,"Черноморец","Алания",8.70,"ФОРА 1 (-1)","Черноморец уж очень домашняя команда с хорошими традициями, считаю вполне могут выиграть. Алания может банально недооценить соперника.",0,0,"Сегодня в 05:20"
"Ni4oz Ni4oz",+84.20%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","Итак продолжение нашего чувственного захода Алания строит стадион ребята очень хотят попасть в рпл и потому должны брать очки с ходу ставим так и ждём очередной плюсик",0,0,"Сегодня в 06:02"
"Алексей Шикунов",-2.73%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","Черноморец принимает Владикавказ Алания думаю Алания победит",0,0,"Сегодня в 06:12"
